Chord,Note
G-major triad,G4
G-major triad,G4
D-major triad,D5
G-major triad,B4
D-major triad,A4
E-minor triad,G4
C-major triad,G4
F#-diminished triad,A4
G-major triad,B4
D-major triad,A4
G-major triad,B4
D-major triad,D5
F#-diminished triad,C5
G-major triad,B4
A-minor seventh chord,A4
G-major triad,G4
G-major triad,B4
G-major triad,B4
A-minor triad,C5
G-major triad,D5
G-major triad,D5
D-dominant seventh chord,C5
G-major triad,B4
D-major triad,A4
E-minor triad,G4
E-minor triad,B4
A-minor triad,C5
B-incomplete minor-seventh chord,D5
C-quartal trichord,C5
G-major triad,B4
C-major triad,G4
G-major triad,B4
D-major triad,D5
F#-diminished triad,C5
G-major triad,B4
D-major triad,A4
E-major-second minor tetrachord,G4
F#-perfect-fourth diminished tetrachord,A4
G-major-second major tetrachord,B4
D-major triad,A4
G-major triad,B4
G-quartal trichord,D5
C-major triad,C5
E-minor triad,B4
A-minor seventh chord,A4
G-major triad,G4
A-major triad,A4
F#-minor triad,A4
A-major triad,A4
D-major triad,A4
B-major triad,B4
E-minor triad,G4
B-major triad,F#4
E-major triad,E4
E-major triad,B4
A-major triad,C#5
G#-minor triad,B4
A-major triad,A4
C#-minor seventh chord,G#4
F#-minor seventh chord,F#4
E-major triad,G#4
B-major triad,F#4
E-major triad,E4
C#-minor triad,E5
D-major triad,D5
Major Third with octave doublings above A,C#5
E-major triad,B4
A-major triad,A4
D-major triad,A4
G#-diminished triad,B4
A-major triad,C#5
E-major triad,B4
A#-diminished triad,C#5
B-minor triad,D5
C#-incomplete half-diminished seventh chord,C#5
B-minor triad,B4
F#-dominant seventh chord,A#4
B-minor triad,B4
C#-minor triad,E4
F#-minor triad,A4
E-dominant seventh chord,B4
Minor Third with octave doublings above C#,C#5
B-minor triad,D5
A-major triad,E5
A-perfect-fourth major tetrachord,D5
D-major seventh chord,C#5
E-major triad,B4
B-minor triad,D5
F#-minor triad,C#5
B-minor seventh chord,B4
E-major triad,E5
G#-tritone-fourth,D5
A-major triad,C#5
E-perfect-fourth major tetrachord,B4
F#-incomplete minor-seventh chord,A4
B-minor seventh chord,B4
A-major triad,C#5
E-major triad,B4
A-major triad,A4
E-major triad,B4
A-minor triad,C5
G#-diminished triad,B4
A-minor triad,A4
E-dominant seventh chord,E5
E-major triad,E5
G#-diminished triad,D5
A-minor triad,C5
E-major triad,B4
G#-diminished seventh chord,D5
A-minor triad,C5
E-major triad,B4
F-major triad,A4
B-perfect-fourth diminished tetrachord,B4
D-incomplete minor-seventh chord,C5
Minor Third with octave doublings above D,D5
C-augmented triad,C5
A-quartal trichord,B4
A-minor triad,A4
D-major triad,A4
G-major triad,B4
D#-diminished triad,A4
E-minor triad,G4
B-major triad,F#4
E-minor triad,E4
D#-diminished triad,F#4
E-minor triad,G4
F#-diminished triad,A4
B-major triad,B4
E-minor triad,G4
F-major triad,A4
B-half-diminished seventh chord,B4
A-minor triad,C5
E-major triad,B4
A-minor triad,C5
B-incomplete minor-seventh chord,B4
A-minor triad,A4
E-major triad,G#4
A-minor triad,A4
A-minor triad,A4
E-major triad,E5
A-minor triad,C5
D-minor triad,D5
E-half-diminished seventh chord,E5
D-major triad,D5
D#-diminished seventh chord,C5
